Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Investor Count,Valuation to Funding Ratio
Indigo Ag,$4B,9/26/2017,Artificial intelligence,Boston,United States,North America,2014,$1B,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.",10,4.00
Mirakl,$4B,9/22/2020,E-commerce & direct-to-consumer,Paris,France,Europe,2011,$948M,"Elaia Partners, 83North, Felix Capital",6,4.22
Rec Room,$4B,3/23/2021,Internet software & services,Seattle,United States,North America,2016,$294M,"First Round Capital, Sequoia Capital, Index Ventures",13,13.61
Tekion,$4B,10/21/2020,Internet software & services,San Ramon,United States,North America,2016,$435M,"Airbus Ventures, Index Ventures, Advent International",14,9.20
Otto Bock HealthCare,$4B,6/24/2017,Health,Duderstadt,Germany,Europe,1919,$0M,EQT Partners,2,363.64
Outreach,$4B,4/16/2019,Internet software & services,Seattle,United States,North America,2011,$489M,"Mayfield Fund, M12, Trinity Ventures",27,8.18
WeRide,$4B,12/23/2020,Auto & transportation,Guangzhou,China,Asia,2017,$1B,"Atop Capital, IDInvest Partners, Qiming Venture Partners",30,4.00
Applied Intuition,$4B,10/22/2020,Data management & analytics,Sunnyvale,United States,North America,2017,$352M,"Andreessen Horowitz, Lux Capital, General Catalyst",21,11.36
Course Hero,$4B,2/12/2020,Edtech,Redwood City,United States,North America,2006,$477M,"NewView Capital, Maveron, Ridge Ventures",17,8.39
Relativity,$4B,3/18/2021,Internet software & services,Chicago,United States,North America,2001,$125M,"Silver Lake, ICONIQ Capital",2,32.00
Whoop,$4B,10/28/2020,E-commerce & direct-to-consumer,Boston,United States,North America,2012,$404M,"NextView Ventures, Promus Ventures, Two Sigma Ventures",36,9.90
Arctic Wolf Networks,$4B,10/22/2020,Cybersecurity,Eden Prairie,United States,North America,2012,$498M,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors",14,8.03
GOAT,$4B,9/23/2020,E-commerce & direct-to-consumer,Culver City,United States,North America,2015,$493M,"Upfront Ventures, Webb Investment Network, D1 Capital Partners",28,8.11
Noom,$4B,5/24/2021,Health,New York,United States,North America,2006,$657M,"Qualcomm Ventures, Samsung Ventures, Silver Lake",28,6.09
Papaya Global,$4B,3/4/2021,Internet software & services,New York,United States,North America,2016,$440M,"Bessemer Venture Partners, Insight Partners, New Era Ventures",16,9.09
Redwood Materials,$4B,7/28/2021,Other,Carson City,United States,North America,2017,$792M,"Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners",12,5.05
ShareChat,$4B,4/8/2021,Internet software & services,Bengaluru,India,Asia,2015,$1B,"India Quotient, Elevation Capital, Lightspeed Venture Partners",22,4.00
Sorare,$4B,9/21/2021,E-commerce & direct-to-consumer,Paris,France,Europe,2019,$739M,"Benchmark, Accel, SoftBank Group",24,5.41
VAST Data,$4B,4/16/2020,Data management & analytics,New York,United States,North America,2016,$263M,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital",11,15.21
Articulate,$4B,7/1/2021,Edtech,New York,United States,North America,2015,$2B,"Blackstone, ICONIQ Growth, General Atlantic",25,2.00
Dutchie,$4B,3/16/2021,E-commerce & direct-to-consumer,Bend,United States,North America,2017,$603M,"Casa Verde Capital, Gron Ventures, Thrity Five Ventures",14,6.63
FalconX,$4B,8/10/2021,Fintech,San Mateo,United States,North America,2018,$324M,"Tiger Global Management, American Express Ventures, B Capital Group",15,12.35
Guild Education,$4B,11/13/2019,Internet software & services,Denver,United States,North America,2015,$379M,"General Atlantic, Blackstone, ICONIQ Growth",25,10.55
Chainalysis,$4B,11/23/2020,Fintech,New York,United States,North America,2014,$367M,"Addition, Benhcmark, Accel",25,10.90
dbt Labs,$4B,6/30/2021,Data management & analytics,Philadelphia,United States,North America,2016,$414M,"Andreessen Horowitz, Amplify Partners, Sequoia Capital",12,9.66
Globalization Partners,$4B,1/24/2022,Internet software & services,Boston,United States,North America,2012,$350M,"Vista Equity Partners, Wincove, TDR Capital",5,11.43
Intarcia Therapeutics,$4B,4/1/2014,Health,Boston,United States,North America,1995,$1B,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital",38,4.00
Relativity Space,$4B,11/23/2020,Other,Inglewood,United States,North America,2016,$1B,"Playground Global, Bond, Tribe Capital",35,4.00
StockX,$4B,6/26/2019,E-commerce & direct-to-consumer,Detroit,United States,North America,2016,$495M,"Google Ventures, Battery Ventures, DST Global",30,8.08
ThoughtSpot,$4B,5/8/2018,Internet software & services,Sunnyvale,United States,North America,2012,$664M,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital",20,6.02
SSENSE,$4B,6/8/2021,E-commerce & direct-to-consumer,Montreal,Canada,North America,2003,Unknown,Sequoia Capital,12,0.00
BitPanda,$4B,3/16/2021,Fintech,Vienna,Austria,Europe,2014,$546M,"Speedinvest, Valar Ventures, Uniqa Ventures",12,7.33
Dataminr,$4B,6/4/2018,Artificial intelligence,New York,United States,North America,2009,$1B,"Venrock, Institutional Venture Partners, Goldman Sachs",35,4.00
Weee!,$4B,3/16/2021,"Supply chain, logistics, & delivery",Fremont,United States,North America,2015,$864M,"Goodwater Capital, iFly, XVC Venture Capital",14,4.63
Medlinker,$4B,7/31/2018,Health,Chengdu,China,Asia,2014,$761M,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China",10,5.26
Hozon Auto,$4B,2/22/2022,Auto & transportation,Shanghai,China,Asia,2014,$2B,"HD Capital, Qihoo 360 Technology, China Fortune Land Development",13,2.00
Aurora Solar,$4B,5/24/2021,Internet software & services,San Francisco,United States,North America,2013,$523M,"Fifth Wall Ventures, Energize Ventures, ICONIQ Capital",9,7.65
Branch,$4B,9/10/2018,Mobile & telecommunications,Redwood City,United States,North America,2014,$667M,"New Enterprise Associates, Pear, Cowboy Ventures",15,6.00
BrowserStack,$4B,6/16/2021,Internet software & services,Dublin,Ireland,Europe,2011,$250M,"Accel, Insight Partners, Bond Capital",3,16.00
Cerebras Systems,$4B,11/14/2018,Hardware,Los Altos,United States,North America,2016,$720M,"Benchmark, Foundation Capital, Sequoia Capital",14,5.56
ClickUp,$4B,12/15/2020,Internet software & services,San Diego,United States,North America,2017,$535M,"Georgian Partners, Craft Ventures",6,7.48
Clubhouse,$4B,1/24/2021,Mobile & telecommunications,San Francisco,United States,North America,2020,$110M,"Andreessen Horowitz, TQ Ventures",6,36.36
Farmers Business Network,$4B,8/3/2020,Other,San Carlos,United States,North America,2014,$870M,"Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures",21,4.60
Houzz,$4B,9/30/2014,E-commerce & direct-to-consumer,Palo Alto,United States,North America,2008,$614M,"New Enterprise Associates, Sequoia Capital, Comcast Ventures",18,6.51
MEGVII,$4B,10/31/2017,Artificial intelligence,Beijing,China,Asia,2011,$1B,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company",18,4.00
Melio,$4B,1/25/2021,Fintech,New York,United States,North America,2018,$504M,"Accel, Aleph, American Express Ventures",13,7.94
Next Insurance,$4B,10/7/2019,Fintech,Palo Alto,United States,North America,2016,$881M,"Zeev Ventures, Ribbit Capital, TLV Partners",17,4.54
Olive,$4B,12/1/2020,Internet software & services,Columbus,United States,North America,2012,$856M,"Drive Capital, General Catalyst, Ascension Ventures",16,4.67
Patreon,$4B,9/2/2020,Internet software & services,San Francisco,United States,North America,2013,$413M,"Index Ventures, Thrive Capital, CRV",28,9.69
PointClickCare,$4B,1/7/2021,Internet software & services,Mississauga,Canada,North America,2000,$230M,"Dragoneer Investment Group, Hellman & Friedman, JMI Equity",3,17.39
Rubrik,$4B,4/28/2017,Data management & analytics,Palo Alto,United States,North America,2014,$553M,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures",10,7.23
Vuori,$4B,10/13/2021,E-commerce & direct-to-consumer,Carlsbad,United States,North America,2015,$445M,"SoftBank Group, Norwest Venture Partners",23,8.99
Webflow,$4B,1/13/2021,Internet software & services,San Francisco,United States,North America,2012,$335M,"Accel, Silversmith Capital Partners, capitalG",9,11.94
Yuga Labs,$4B,3/22/2022,Fintech,Miami,United States,North America,2021,$450M,"Andreessen Horowitz, Thrive Capital, Sound Ventures",#N/A,8.89
Zapier,$4B,1/14/2021,Internet software & services,Sunnyvale,United States,North America,2011,$1M,"Sequoia Capital, Bessemer Venture Partners, Threshold Ventures",6,4000.00
Dadi Cinema,$3B,5/11/2016,Other,Shenzhen,China,Asia,2006,$154M,Alibaba Pictures Group,1,19.48
Kurly,$3B,7/9/2021,"Supply chain, logistics, & delivery",Seoul,South Korea,Asia,2014,$770M,"Sequoia Capital China, DST Global, DST Global",20,3.90
Moglix,$3B,5/17/2021,E-commerce & direct-to-consumer,,Singapore,Asia,2015,$471M,"Jungle Ventures, Accel, Venture Highway",16,6.37
OpenAI,$3B,7/22/2019,Artificial intelligence,San Francisco,United States,North America,2015,$1B,Khosla Ventures,6,3.00
Upstox,$3B,11/29/2021,Fintech,Mumbai,India,Asia,2010,$54M,"Tiger Global Management, Kalaari Capital",4,55.56
Vista Global,$3B,8/23/2017,Other,Dubai,United Arab Emirates,Asia,2004,$418M,Rhone Capital,20,7.18
Yixia,$3B,11/24/2015,Mobile & telecommunications,Beijing,China,Asia,2011,$775M,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures",10,3.87
Automattic,$3B,5/27/2013,Internet software & services,San Francisco,United States,North America,2005,$859M,"Insight Venture Partners, Lowercase Capital, Polaris Partners",22,3.49
OakNorth Bank,$3B,10/12/2017,Fintech,London,United Kingdom,Europe,2015,$1B,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management",10,3.00
Worldcoin,$3B,6/29/2021,Fintech,San Francisco,United States,North America,2019,$125M,"Day One Ventures, Coinbase Ventures, Andreessen Horowitz",#N/A,24.00
Hive Box,$3B,1/23/2018,"Supply chain, logistics, & delivery",Shenzhen,China,Asia,2015,$1B,"Eastern Bell Capital, SF Holding Co, STO Express",16,3.00
Trax,$3B,7/22/2019,Artificial intelligence,,Singapore,Asia,2010,$1B,"Hopu Investment Management, Boyu Capital, DC Thomson Ventures",10,3.00
MessageBird,$3B,10/8/2020,Mobile & telecommunications,Amsterdam,Netherlands,Europe,2011,$1B,"Y Combinator, Atomico, Accel",15,3.00
Cohesity,$3B,6/11/2018,Data management & analytics,San Jose,United States,North America,2013,$660M,"SoftBank Group, Sequoia Capital, Wing Venture Capital",22,4.55
Cybereason,$3B,8/6/2019,Cybersecurity,Boston,United States,North America,2012,$714M,"SoftBank Group, CRV, Spark Capital",8,4.20
A24 Films,$3B,3/9/2022,Other,New York,United States,North America,2012,$225M,"Stripes Group, Neuberger Berman",#N/A,13.33
Acronis,$3B,9/18/2019,Cybersecurity,Schaffhausen,Switzerland,Europe,2003,$408M,"Goldman Sachs, VebVentures, Insight Partners",8,7.35
Aura,$3B,6/9/2021,Cybersecurity,Burlington,United States,North America,2019,$500M,"Warburg Pincus, General Catalyst",6,6.00
BYTON,$3B,4/20/2018,Auto & transportation,Nanjing,China,Asia,2016,$1B,"FAW Group, Tencent Holdings, Tus Holdings",11,3.00
Cato Networks,$3B,11/17/2020,Cybersecurity,Tel Aviv,Israel,Asia,2015,$532M,"Aspect Ventures, SingTel Innov8, Greylock Partners",10,5.64
Digit Insurance,$3B,1/15/2021,Fintech,Bengaluru,India,Asia,2016,$531M,"Fairfax Financial Holdings, A91 Partners, TVS Capital",15,5.65
Fetch Rewards,$3B,3/31/2021,E-commerce & direct-to-consumer,Madison,United States,North America,2014,$582M,"Greycroft, Loeb.NYC, DST Global",12,5.15
Games24x7,$3B,3/30/2022,Internet software & services,Mumbai,India,Asia,2006,$75M,"Tiger Global Management, The Raine Group, Malabar Investments",#N/A,40.00
GoStudent,$3B,6/22/2021,Edtech,Vienna,Austria,Europe,2017,$685M,"DN Capital, Left Lane Capital, Coatue Management",13,4.38
Immutable,$3B,3/7/2022,Fintech,Sydney,Australia,Oceania,2018,$280M,"Fabric Ventures, AirTree Ventures, Temasek",#N/A,10.71
Infra.Market,$3B,2/25/2021,E-commerce & direct-to-consumer,Thane,India,Asia,2016,$274M,"Accel, Tiger Global Management, Nexus Venture Partners",26,10.95
Side,$3B,3/22/2021,Internet software & services,San Francisco,United States,North America,2017,$314M,"Coatue Managemeny, Trinity Ventures, Matrix Partners",10,9.55
SiFive,$3B,3/16/2022,Hardware,San Mateo,United States,North America,2015,$366M,"Sutter Hill Ventures, Osage University Partners, Spark Capital",#N/A,8.20
Somatus,$3B,2/23/2022,Health,McLean,United States,North America,2016,$465M,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital",14,6.45
Sysdig,$3B,4/28/2021,Cybersecurity,San Francisco,United States,North America,2013,$730M,"Accel, Bain Capital Ventures, Insight Partners",12,4.11
Uniphore,$3B,2/16/2022,Artificial Intelligence,Palo Alto,United States,North America,2008,$607M,"Chiratae Ventures, March Capital Partners, National Grid Partners",25,4.94
Varo Bank,$3B,9/9/2021,Fintech,San Francisco,United States,North America,2015,$987M,"Warburg Pincus, The Rise Fund, HarbourVest Partners",14,3.04
Vercel,$3B,6/23/2021,Internet software & services,San Francisco,United States,North America,2015,$313M,"CRV, Accel, Google Ventures",16,9.58
Oura,$3B,4/5/2022,Health,Oulu,Finland,Europe,2013,$148M,"Forerunner Ventures, Lifeline Ventures, MSD Capital",#N/A,20.27
Unacademy,$3B,9/2/2020,Edtech,Bengaluru,India,Asia,2015,$789M,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India",34,3.80
Axonius,$3B,3/1/2021,Cybersecurity,New York,United States,North America,2017,$395M,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge",14,7.59
Clari,$3B,3/3/2021,Internet software & services,Sunnyvale,United States,North America,2012,$496M,"Sequoia Capital, Bain Capital Ventures, enaya Capital",15,6.05
ManoMano,$3B,7/5/2021,E-commerce & direct-to-consumer,Paris,France,Europe,2013,$706M,"General Atlantic, Piton Capital, Partech Partners",12,4.25
Pendo,$3B,10/17/2019,Internet software & services,Raleigh,United States,North America,2013,$357M,"Contour Venture Partners, Battery Ventures, Core Capital Partners",18,8.40
Plume,$3B,2/23/2021,Internet software & services,Palo Alto,United States,North America,2015,$722M,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures",15,4.16
JumpCloud,$3B,9/13/2021,Data management & analytics,Louisville,United States,North America,2012,$407M,"Foundry Group, General Atlantic, BlackRock",20,7.37
Project44,$3B,6/1/2021,"Supply chain, logistics, & delivery",Chicago,United States,North America,2014,$818M,"Emergence Capital Partners, 8VC, Chicago Ventures",20,3.67
Sourcegraph,$3B,7/13/2021,Internet software & services,San Francisco,United States,North America,2013,$248M,"Redpoint Ventures, Goldcrest Capital, Insight Partners",8,12.10
OwnBackup,$3B,1/28/2021,Data management & analytics,Englewood Cliffs,United States,North America,2015,$507M,"Insight Partners, Salesforce Ventures, Vertex Ventures",12,5.92
Starburst,$3B,1/6/2021,Data management & analytics,Boston,United States,North America,1999,$414M,"Index Ventures, Coatue Management, Andreessen Horowitz",1,7.25
Youxia Motors,$3B,4/2/2018,Auto & transportation,Shanghai,China,Asia,2014,$1B,"China Environmental Protection Industry, China Fortune Ocean",7,3.00
Zetwerk,$3B,8/20/2021,Internet software & services,Bengaluru,India,Asia,2018,$543M,"Sequoia Capital India, Kae Capital, Accel",24,5.52
Cars24,$3B,11/24/2020,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,$1B,"Moore Strategic Ventures, DST Global, Sequoia Capital India",30,3.00
Ethos,$3B,5/11/2021,Fintech,San Francisco,United States,North America,2016,$407M,"Sequoia Capital, Google Ventures, Accel",1,7.37
Komodo Health,$3B,5/22/2020,Health,San Francisco,United States,North America,2014,$314M,"Andreessen Horowitz, IA Ventures, Felicis Ventures",10,9.55
Nextiva,$3B,9/14/2021,Internet software & services,Scottsdale,United States,North America,2008,$200M,Goldman Sachs Asset Management,2,15.00
o9 Solutions,$3B,4/28/2020,Artificial intelligence,Dallas,United States,North America,2009,$417M,KKR,3,7.19
Scopely,$3B,10/29/2019,Mobile & telecommunications,Culver City,United States,North America,2011,$999M,"Greycroft, Sands Capital, Revolution Growth",53,3.00
Sila Nanotechnologies,$3B,4/16/2019,Other,Alameda,United States,North America,2011,$880M,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",15,3.41
Via,$3B,3/30/2020,Auto & transportation,New York,United States,North America,2012,$777M,"83North, RiverPark Ventures, Pitango Venture Capital",23,3.86
Transmit Security,$3B,6/22/2021,Cybersecurity,Tel Aviv,Israel,Asia,2014,$583M,"General Atlantic, Insight Partners, Vintage Investment Partners",11,5.15
BlockDaemon,$3B,9/21/2021,Fintech,Los Angeles,United States,North America,2016,$398M,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital",34,7.54
Convoy,$3B,9/21/2018,"Supply chain, logistics, & delivery",Seattle,United States,North America,2015,$666M,"Greylock Partners, capitalG, Y Combinator",43,4.50
Dream Games,$3B,6/30/2021,Mobile & telecommunications,Istanbul,Turkey,Europe,2019,$468M,"Makers Fund, Index Ventures, Inova Ventures Participacees",6,6.41
Illumio,$3B,4/14/2015,Cybersecurity,Sunnyvale,United States,North America,2013,$558M,"Data Collective, Formation 8, General Catalyst Partners",18,5.38
MasterClass,$3B,5/13/2021,Edtech,San Francisco,United States,North America,2015,$461M,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners",31,6.51
Graphcore,$3B,12/18/2018,Artificial intelligence,Bristol,United Kingdom,Europe,2016,$682M,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",29,4.40
ApplyBoard,$3B,5/5/2020,Edtech,Kitchener,Canada,North America,2015,$483M,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",19,6.21
Blockstream,$3B,8/24/2021,Fintech,Vancouver,Canada,North America,2014,$299M,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",23,10.03
Cedar,$3B,3/9/2021,Fintech,New York,United States,North America,2016,$326M,"Thrive Capital, Founders Fund, Cocnord Health Partners",16,9.20
ContentSquare,$3B,5/25/2021,Internet software & services,Paris,France,Europe,2012,$812M,"Highland Europe, Eurazeo, Canaan Partners",11,3.69
Eruditus Executive Education,$3B,8/12/2021,Edtech,Mumbai,India,Asia,2010,$591M,"Sequoia Capital India, Softbank, Bertelsmann India Investments",13,5.08
Innovaccer,$3B,2/19/2021,Health,San Francisco,United States,North America,2014,$379M,"M12, WestBridge Capital, Lightspeed Venture Partners",27,7.92
Ironclad,$3B,1/18/2022,Internet software & services,Sacramento,United States,North America,2014,$334M,"Accel, Sequoia Capital, Y Combinator",10,8.98
Skims,$3B,4/9/2021,E-commerce & direct-to-consumer,Los Angeles,United States,North America,2019,$399M,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures",5,7.52
Thumbtack,$3B,9/29/2015,E-commerce & direct-to-consumer,San Francisco,United States,North America,2008,$698M,"Tiger Global, Sequoia Capital, Google Capital",26,4.30
Zipline,$3B,5/20/2019,"Supply chain, logistics, & delivery",South San Francisco,United States,North America,2014,$483M,"Sequoia Capital, Baillie Gifford & Co., Google Ventures",37,6.21
BharatPe,$3B,7/30/2021,Fintech,New Delhi,India,Asia,2018,$600M,"Insight Partners, Sequoia Capital India, BEENEXT",22,5.00
DriveWealth,$3B,8/20/2021,Fintech,Chatham,United States,North America,2012,$551M,"Point72 Ventures, Route 66 Ventures, Accel",13,5.44
Flink Food,$3B,12/1/2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2021,$1B,"Mubadala Capital, Bond, Prosus Ventures",#N/A,3.00
PsiQuantum,$3B,7/27/2021,Hardware,Palo Alto,United States,North America,2016,$665M,"Playground Global, M12, BlackRock",10,4.51
SpotOn,$3B,5/26/2021,Fintech,San Francisco,United States,North America,2017,$628M,"Dragoneer Investment Group, DST Global, Franklin Templeton",13,4.78
Gorillas,$3B,3/25/2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,$1B,"Coatue Management, Atlantic Food Labs, DST Global",14,3.00
HighRadius,$3B,1/7/2020,Fintech,Houston,United States,North America,2006,$475M,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",11,6.32
Loft,$3B,1/3/2020,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2018,$788M,"Monashees+, Andreessen Horowitz, QED Investors",34,3.81
Nuvemshop,$3B,8/17/2021,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2011,$628M,"Kaszek Ventures, Qualcomm Ventures, Accel",24,4.78
Udaan,$3B,9/4/2018,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2016,$1B,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp",21,3.00
Workrise,$3B,9/30/2019,Internet software & services,Austin,United States,North America,2014,$722M,"Founders Fund, Quantum Energy Partners, Bedrock Capital",16,4.16
ActiveCampaign,$3B,4/21/2021,Internet software & services,Chicago,United States,North America,2003,$360M,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",4,8.33
Age of Learning,$3B,5/3/2016,Edtech,Glendale,United States,North America,2007,$500M,Iconiq Capital,4,6.00
Amber Group,$3B,6/21/2021,Fintech,,Hong Kong,Asia,2015,$328M,"Tiger Global Management, Tiger Brokers, DCM Ventures",18,9.15
Anchorage Digital,$3B,12/15/2021,Fintech,San Francisco,United States,North America,2017,$487M,"Andreessen Horowitz, Blockchain Capital, Lux Capital",28,6.16
BlockFi,$3B,3/11/2021,Fintech,Jersey City,United States,North America,2017,$1B,"ConsenSys Ventures, Valar Ventures, PUC",44,3.00
Calendly,$3B,1/26/2021,Internet software & services,Atlanta,United States,North America,2013,$351M,"ICONIQ Capital, OpenView Venture Partners",4,8.55
Carbon Health,$3B,7/21/2021,Health,San Francisco,United States,North America,2015,$523M,"Brookfield Asset Management, Blackstone, Data Collective",36,5.74
Circle,$3B,5/15/2018,Fintech,Boston,United States,North America,2013,$711M,"General Catalyst, Digital Currency Group, Accel",34,4.22
CMR Surgical,$3B,9/17/2019,Health,Cambridge,United Kingdom,Europe,2014,$975M,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",14,3.08
Contentful,$3B,7/28/2021,Internet software & services,Berlin,Germany,Europe,2013,$333M,"Balderton Capital, General Catalyst, Tiger Global Management",13,9.01
Cross River Bank,$3B,2/11/2022,Fintech,Fort Lee,United States,North America,2008,$775M,"Battery Ventures, Andreessen Horowitz, Ribbit Capital",#N/A,3.87
Delhivery,$3B,2/27/2019,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,2011,$1B,"Times Internet, Nexus Venture Partners, SoftBank Group",16,3.00
FlixBus,$3B,7/18/2019,Auto & transportation,Munich,Germany,Europe,2013,$1B,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic",#N/A,3.00
Flutterwave,$3B,3/9/2021,Fintech,San Francisco,United States,North America,2016,$474M,"Green Visor Capital, CRE Venture Capital, Greycroft",41,6.33
Forter,$3B,11/19/2020,Cybersecurity,New York,United States,North America,2013,$525M,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures",17,5.71
Grafana Labs,$3B,3/25/2021,Internet software & services,New York,United States,North America,2014,$535M,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management",5,5.61
Groww,$3B,4/7/2021,Fintech,Bengaluru,India,Asia,2017,$393M,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",17,7.63
Inxeption,$3B,1/13/2022,Fintech,San Francisco,United States,North America,2017,$187M,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors",5,16.04
KK Group,$3B,10/23/2019,E-commerce & direct-to-consumer,Dongguan,China,Asia,2014,$612M,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group",15,4.90
Lattice,$3B,3/23/2021,Internet software & services,San Francisco,United States,North America,2015,$329M,"Khosla Ventures, Thrive Capital, Y Combinator",17,9.12
LaunchDarkly,$3B,8/10/2021,Internet software & services,Oakland,United States,North America,2014,$330M,"Uncork Capital, Threshold Ventures, Bloomberg Beta",13,9.09
Lucid,$3B,6/29/2021,Internet software & services,South Jordan,United States,North America,2010,$170M,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital",#N/A,17.65
Outschool,$3B,4/14/2021,Edtech,San Francisco,United States,North America,2015,$240M,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",13,12.50
Podium,$3B,4/7/2020,Internet software & services,Lehi,United States,North America,2014,$419M,"Accel, Summit Partners, Google Ventures",12,7.16
Remote,$3B,7/13/2021,Fintech,San Francisco,United States,North America,2016,$496M,"Index Ventures, Sequoia Capital, General Catalyst",15,6.05
Seismic,$3B,12/18/2018,Internet software & services,San Diego,United States,North America,2010,$427M,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",8,7.03
Sky Mavis,$3B,10/4/2021,Internet software & services,Ho Chi Minh City,Vietnam,Asia,2019,$311M,"Fabric Ventures, 500 Global, Standard Crypto",18,9.65
SouChe Holdings,$3B,11/1/2017,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2012,$1B,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",22,3.00
TradingView,$3B,10/14/2021,Fintech,Westerville,United States,North America,2011,$339M,"Tiger Global Management, Insight Partners, Jump Capital",10,8.85
Traveloka,$3B,1/1/2017,Travel,Jakarta,Indonesia,Asia,2012,$1B,"Global Founders Capital, East Ventures, Expedia Inc.",8,3.00
wefox,$3B,3/5/2019,Fintech,Berlin,Germany,Europe,2014,$919M,"Salesforce Ventures, Seedcamp, OMERS Ventures",36,3.26
Wildlife Studios,$3B,12/5/2019,Other,Sao Paulo,Brazil,South America,2011,$180M,"Benchmark, Bessemer Venture Partners",9,16.67
1047 Games,$2B,9/14/2021,Internet software & services,Zephyr Cove,United States,North America,2017,$127M,"VGames, Lakestar, Galaxy Interactive",10,15.75
Baiwang,$2B,3/25/2019,Fintech,Beijing,China,Asia,2015,$224M,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital",8,8.93
Boba,$2B,4/5/2022,Fintech,San Francisco,United States,North America,2018,$45M,"DeFi Technologies, Hypersphere Ventures, M13",#N/A,44.44
Bought By Many,$2B,6/1/2021,Fintech,London,United Kingdom,Europe,2012,$477M,"Octopus Ventures, Munich Re Ventures, CommerzVentures",8,4.19
Cambridge Mobile Telematics,$2B,12/19/2018,Mobile & telecommunications,Cambridge,United States,North America,2010,$503M,SoftBank Group,1,3.98
Carzone,$2B,3/1/2019,E-commerce & direct-to-consumer,Jiangsu,China,Asia,1995,$946M,"Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital",13,2.11
CFGI,$2B,9/15/2021,Fintech,Boston,United States,North America,2000,$19M,"The Carlyle Group, CVC Capital Partners",2,105.26
Cgtz,$2B,2/21/2017,Fintech,Hangzhou,China,Asia,2014,$536M,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",4,3.73
Changingedu,$2B,10/30/2017,Edtech,Shanghai,China,Asia,2014,$188M,"Trustbridge Partners, IDG Capital, Sequoia Capital China",6,10.64
eDaili,$2B,2/1/2019,E-commerce & direct-to-consumer,Shanghai,China,Asia,2015,$101M,"K2VC, Lightspeed China Partners, Sky9 Capital",8,19.80
ENOVATE,$2B,4/15/2019,Auto & transportation,Shanghai,China,Asia,2015,$1B,Automobile Industry Guidance Fund,1,2.00
Fenbi Education,$2B,2/7/2021,Edtech,Beijing,China,Asia,2015,$390M,"Trustbridge Partners, Hony Capital, IDG Capital",8,5.13
Hesai Tech,$2B,8/1/2020,Artificial intelligence,Shanghai,China,Asia,2013,$717M,"Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners",20,2.79
